STT,Mã MH,Tên môn học,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng
1,202252,Vật lý 1,2,KHOA HỌC,,
2,202253,Thí nghiệm vật lý 1,1,KHOA HỌC,,
3,202354,Thí nghiệm Hóa ĐC 1,1,KHOA HỌC,,
4,202453,Thực hành Sinh học 1,1,KHOA HỌC,,
5,202452,Sinh học 1,2,KHOA HỌC,,
6,212339,Kỹ năng giao tiếp,2,MÔI TRƯỜNG VÀ TN,,
7,214101,Tin học đại cương,3,CNTT,,
8,214101,Tin học đại cương,3,CNTT,,
9,214377,Data Warehouse,4,CNTT,,
10,210318,KT lanh & LO lenh trang CNTP,2,CN THỰC PHẨM,THỦY SẢN,
11,208512,Vệ sinh & an toàn thực phẩm TS,2,THỦY SẢN,,
12,206515,Xử lý chất thái trong CBTS,2,THỦY SẢN,,
13,206505,Nước cất nước thái trang CBTS,2,THỦY SẢN,,
14,210318,Nhiệt kỹ thuật thực phẩm,2,CN THỰC PHẨM,THỦY SẢN,
15,203105,Sinh hóa chuyên ngành,2,CN THÚ Y,THỦY SẢN,
16,212110,Khoa học môi trường,2,MÔI TRƯỜNG VÀ TN,THỦY SẢN,
17,206407,Anh văn chuyên ngành,2,THỦY SẢN,,
18,206417,Kinh tế sản xuất thủy sản,2,THỦY SẢN,,
19,203421,Dược lý làm sảng,4,CN THÚ Y,,
20,203526,Công nghệ sinh học ứng dụng,2,CN THÚ Y,,
21,203526,Công nghệ sinh học ứng dụng,2,CN THÚ Y,,
22,203422,Thực tập xí nghiệp dược,2,CN THÚ Y,,
23,203914,Báo cáo chuyên đề,2,CN THÚ Y,,
24,203301,Cơ thể đại cương,3,CN THÚ Y,,
25,203302,Cơ thể học so sánh,2,CN THÚ Y,,
26,203312,Chăn nuôi và môi trường,2,CN THÚ Y,,
27,203303,Vệ sinh an toàn thực phẩm,4,CN THÚ Y,,
28,203528,Bện truyền nhiễm gia cầm,2,CN THÚ Y,,
29,203601,Thực tế chăn nuôi,2,CN THÚ Y,,
30,203208,Thống kê ứng dụng trong SH,3,CN THÚ Y,,
31,203213,Di truyền chuyên ngành A.,2,CN THÚ Y,,
32,203513,Chăn nuôi thú hoang dã,2,CN THÚ Y,,
33,203902,Thực tập trang trại CN,2,CN THÚ Y,,
34,203153,Cơ thể học & s.lý hệ VĐ & da,3,CN THÚ Y,,
