STT,Mã MH,Tên môn học tương đương,TC,Khoa/BM quản lý,
1,202201,Vật lý 1,2,KHOA HỌC,
2,202202,Thí nghiệm vật lý 1,1,KHOA HỌC,
3,202304,Thí nghiệm Hóa ĐC,1,KHOA HỌC,
4,202402,Thực hành Sinh học đại cương,1,KHOA HỌC,
5,202401,Sinh học đại cương,2,KHOA HỌC,
6,202620,Kỹ năng giao tiếp,2,KHOA HỌC,
7,214201,Nhập môn tin học,3,CNTT,Chỉ áp dụng cho SV chuyên ngành CNTT khóa 2013 trở về trước
8,214103,Tin học đại cương,3,CNTT,
9,214477,Data Warehouse,4,CNTT,
10,206523,KT lanh & LO lenh trang CNTP,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
11,200524,Quản lý chất lượng trong CBTS,2,THỦY SẢN,
12,205525,Xử lý nước & chất thải trong CBTS,2,THỦY SẢN,
13,206525,Xử lý nước & chất thải trong CBTS,2,THỦY SẢN,
14,208522,Nhiệt kỹ thuật CB thủy sản,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
15,206316,Sinh hóa chuyên ngành thủy sản,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
16,202406,Khoa học môi trường đại cương,2,THỦY SẢN,Chỉ áp dụng cho SV khoa Thủy sản
17,205214,Anh văn chuyên ngành NTTS,2,THỦY SẢN,
18,206421,Quản trị sản xuất thủy sản,2,THỦY SẢN,
19,203111,Dược lý làm sảng,4,CN THÚ Y,
20,203107,Công nghệ SH ứng dụng trong CN,2,CN THÚ Y,
21,203109,Công nghệ SH ứng dụng trong TY,2,CN THÚ Y,
22,203157,Thực tập xí nghiệp dược,2,CN THÚ Y,
23,203158,Kỹ năng báo cáo chuyên đề,2,CN THÚ Y,
24,203211,Cơ thể 1,3,CN THÚ Y,
25,203212,Cơ thể 2,2,CN THÚ Y,
26,203313,Môi trường & SK vật nuôi,2,CN THÚ Y,
27,203314,Kinh nghiệm thú sản,4,CN THÚ Y,
28,203363,Bệnh truyền nhiễm gia cầm,2,CN THÚ Y,
29,203462,Thực tế chăn nuôi,2,CN THÚ Y,
30,203517,Phương pháp bố trí thí nghiệm,3,CN THÚ Y,
31,203527,Duy chuyền chuyên ngành,2,CN THÚ Y,
32,203516,Thú hoang dã,2,CN THÚ Y,
33,203615,Thực tập trang trại CN.,2,CN THÚ Y,
34,203159,Cơ thể học Sinh lý HVĐ & Da,3,CN THÚ Y,Áp dụng cho SV CNTY Chương trình tiên tiến
35,203561,Nguyên lý bệnh I,4,CN THÚ Y,Áp dụng cho SV CNTY Chương trình tiên tiến
36,203912,Anh văn chuyên ngành,3,CN THÚ Y,Áp dụng cho SV CNTY từ CT tiên tiến chuyển sang Tiếng Việt
