date_sk, full_date,day_since_2005 ,month_since_2005,day_of_week,calendar_month , calendar_year , calendar_year_month ,day_of_month , day_of_year , week_of_year_sunday , year_week_sunday , week_sunday_start , week_of_year_monday , year_week_monday , week_monday_start, holiday ,day_type ,quarter_of_year , quarter_since_2005
1,1981-01-01,1,1,Thursday,January,1981,1981-Jan,1,1,52,1980-W52,1980-12-28,1,1980-W01,1980-12-29,Non-Holiday,Weekday,1981-Q1,1
2,1981-01-02,2,1,Friday,January,1981,1981-Jan,2,2,52,1980-W52,1980-12-28,1,1980-W01,1980-12-29,Non-Holiday,Weekday,1981-Q1,1
3,1981-01-03,3,1,Saturday,January,1981,1981-Jan,3,3,52,1980-W52,1980-12-28,1,1980-W01,1980-12-29,Non-Holiday,Weekend,1981-Q1,1
4,1981-01-04,4,1,Sunday,January,1981,1981-Jan,4,4,1,1981-W01,1981-01-04,1,1980-W01,1980-12-29,Non-Holiday,Weekend,1981-Q1,1
5,1981-01-05,5,1,Monday,January,1981,1981-Jan,5,5,1,1981-W01,1981-01-04,2,1981-W02,1981-01-05,Non-Holiday,Weekday,1981-Q1,1
6,1981-01-06,6,1,Tuesday,January,1981,1981-Jan,6,6,1,1981-W01,1981-01-04,2,1981-W02,1981-01-05,Non-Holiday,Weekday,1981-Q1,1
7,1981-01-07,7,1,Wednesday,January,1981,1981-Jan,7,7,1,1981-W01,1981-01-04,2,1981-W02,1981-01-05,Non-Holiday,Weekday,1981-Q1,1
8,1981-01-08,8,1,Thursday,January,1981,1981-Jan,8,8,1,1981-W01,1981-01-04,2,1981-W02,1981-01-05,Non-Holiday,Weekday,1981-Q1,1
9,1981-01-09,9,1,Friday,January,1981,1981-Jan,9,9,1,1981-W01,1981-01-04,2,1981-W02,1981-01-05,Non-Holiday,Weekday,1981-Q1,1
10,1981-01-10,10,1,Saturday,January,1981,1981-Jan,10,10,1,1981-W01,1981-01-04,2,1981-W02,1981-01-05,Non-Holiday,Weekend,1981-Q1,1
11,1981-01-11,11,1,Sunday,January,1981,1981-Jan,11,11,2,1981-W02,1981-01-11,2,1981-W02,1981-01-05,Non-Holiday,Weekend,1981-Q1,1
12,1981-01-12,12,1,Monday,January,1981,1981-Jan,12,12,2,1981-W02,1981-01-11,3,1981-W03,1981-01-12,Non-Holiday,Weekday,1981-Q1,1
